Usain Bolt
Michael Jordan
LeBron James
Kobe Bryant
Tiger Woods
The MIT Blackjack Team
Muhammad Ali
Shaquille O’Neal
Stephen Curry
Cristiano Ronaldo
Kevin Durant
Lance Armstrong
Lionel Messi
Floyd Mayweather
Michael Phelps
Peyton Manning
Serena Williams
Babe Ruth
Mike Tyson
Valentia Vezzai
Dan Lin
Carl Lewis
David Douillet
